ID,Время создания,Ваш пол,Сколько вам лет?,1. Какую/Какие операционную систему вы используете в учебном процессе? / Windows,1. Какую/Какие операционную систему вы используете в учебном процессе? / macOS,1. Какую/Какие операционную систему вы используете в учебном процессе? / Linux,1. Какую/Какие операционную систему вы используете в учебном процессе? / Другая,"2. На ваш взгляд, какая операционная система наиболее удобна для образовательных целей?",3. Какие преимущества вы видите в использовании вашей ОС в учебе? (выберите все подходящие) / Доступ к образовательным приложениям,3. Какие преимущества вы видите в использовании вашей ОС в учебе? (выберите все подходящие) / Удобство интерфейса,3. Какие преимущества вы видите в использовании вашей ОС в учебе? (выберите все подходящие) / Поддержка различных форматов файлов,3. Какие преимущества вы видите в использовании вашей ОС в учебе? (выберите все подходящие) / Безопасность и защита данных,3. Какие преимущества вы видите в использовании вашей ОС в учебе? (выберите все подходящие) / Сообщество и поддержка пользователей,4.Используете ли вы специальные образовательные программы или приложения на своей ОС?,какие программы вы используете? (открытый вопрос),5.Как часто вы сталкиваетесь с техническими проблемами при использовании вашей ОС в учебе?,6. Как вы оцениваете влияние операционной системы на вашу продуктивность в учебе?,"7.Считаете ли вы, что использование разных ОС в образовательных учреждениях может быть полезным?",8.Какую операционную систему вы бы рекомендовали своим одноклассникам или коллегам для учебы?,9. Есть ли у вас предложения по улучшению использования операционных систем в образовательном процессе?
1909564618,2024-11-27 15:27:25,Мужской,более 30 лет,Windows,macOS,Linux,Другая,Другая,Доступ к образовательным приложениям,Удобство интерфейса,Поддержка различных форматов файлов,Безопасность и защита данных,Сообщество и поддержка пользователей,Нет,,Никогда,Очень отрицательно,"Нет, это нецелесообразно",Не сидеть за этими американским технологиями ,Только через времяБуфер обмена теперь поддерживает изображения и текстСкопированный текст автоматически отобразится здесь
1910147701,2024-11-28 03:06:31,Женский,более 30 лет,Windows,,,,Windows,Доступ к образовательным приложениям,Удобство интерфейса,,,,Нет,,Иногда,Нейтрально,"Нет, это нецелесообразно",Windows ,"Нет, я плохо разбираюсь в этом вопросе, уровень пользователя "
1920949590,2024-12-08 15:35:27,Женский,14—18 лет,Windows,,,,Windows,Доступ к образовательным приложениям,Удобство интерфейса,Поддержка различных форматов файлов,,,Нет,,Редко,Нейтрально,"Возможно, но не всегда",Windows,"Сейчас на многих компьютерах в моей школе установлен астра линукс, к сожалению, мне не особо подошло, мне кажется лучше было бы, если бы windows вернули("
1920999468,2024-12-08 16:41:42,Мужской,14—18 лет,Windows,,Linux,,Linux,,,Поддержка различных форматов файлов,Безопасность и защита данных,,Нет,,Редко,Положительно,"Да, обязательно",Linux,
2002922085,2025-03-11 14:26:32,Женский,14—18 лет,Windows,,,,Windows,,Удобство интерфейса,Поддержка различных форматов файлов,,,Нет,,Редко,Положительно,"Возможно, но не всегда",Windows,Главное что бы работали
2002969212,2025-03-11 15:07:19,Мужской,14—18 лет,Windows,,Linux,,Windows,Доступ к образовательным приложениям,Удобство интерфейса,Поддержка различных форматов файлов,,,Нет,,Иногда,Положительно,"Да, обязательно",,
2002969510,2025-03-11 15:07:32,Мужской,14—18 лет,Windows,,,,Windows,Доступ к образовательным приложениям,Удобство интерфейса,Поддержка различных форматов файлов,Безопасность и защита данных,,Нет,,Редко,Очень положительно,"Нет, это нецелесообразно",Windows,"особо нету, лучше чтобы всё на винде оставалось "
2002972231,2025-03-11 15:09:53,Мужской,14—18 лет,Windows,macOS,Linux,,macOS,Доступ к образовательным приложениям,Удобство интерфейса,Поддержка различных форматов файлов,Безопасность и защита данных,,Нет,,Никогда,Очень положительно,"Да, обязательно",,
2002985026,2025-03-11 15:20:58,Мужской,18—30 года,Windows,,,,Linux,Доступ к образовательным приложениям,Удобство интерфейса,Поддержка различных форматов файлов,,,Нет,,Иногда,Нейтрально,"Да, обязательно",Linux Debian ,"Добавить разнообразия, чтобы ученики имели представление о том, какие есть ОС, почему их так много, как они работают и что возможно реализовать на той или иной ОС, чего нельзя на других"
2002987389,2025-03-11 15:23:00,Мужской,14—18 лет,Windows,,Linux,,Windows,Доступ к образовательным приложениям,Удобство интерфейса,Поддержка различных форматов файлов,,,Нет,,Никогда,Нейтрально,"Да, обязательно","Linux — это неизбежно, Linux — это нужно",
2002989723,2025-03-11 15:24:59,Мужской,14—18 лет,,,Linux,,Linux,Доступ к образовательным приложениям,Удобство интерфейса,,,Сообщество и поддержка пользователей,Нет,,Редко,Положительно,"Возможно, но не всегда",Linux Ubuntu ,
2003037265,2025-03-11 16:06:05,Мужской,14—18 лет,Windows,,,,Windows,,Удобство интерфейса,,,,Да,,Иногда,Нейтрально,"Да, обязательно",,
2003070537,2025-03-11 16:36:21,Женский,14—18 лет,Windows,,,,Windows,,Удобство интерфейса,Поддержка различных форматов файлов,Безопасность и защита данных,,Да,,Редко,Положительно,"Возможно, но не всегда",,
